NAME,RTG,TEAM,GP,FGM,FGA,LONG,XPM,XPA,FGM (0-19),FGM (20-29),FGM (30-39),FGM (40-49),FGM (50+),PTS,FGA/G,FG%,XP%
Justin Tucker,91,BAL,17,37,43,58,31,32,0,13,11,4,9,142,2.5,86%,96.90%
Daniel Carlson,84,OAK,17,34,37,57,35,36,0,9,11,3,11,137,2.2,91.90%,97.20%
Graham Gano,82,NYG,17,29,32,57,32,34,0,2,9,10,8,119,1.9,90.60%,94.10%
Robbie Gould,82,SF,17,27,32,51,50,51,0,13,5,7,2,131,1.9,84.40%,98%
Jake Elliott,80,PHI,16,20,23,56,51,53,0,6,8,1,5,111,1.4,87%,96.20%
Chris Boswell,80,PIT,12,20,28,59,18,18,0,4,4,5,7,78,2.3,71.40%,100%
Harrison Butker,80,KC,13,18,24,62,38,41,0,7,4,4,3,92,1.8,75%,92.70%
Younghoe Koo,79,ATL,17,32,37,54,33,35,0,9,7,9,7,129,2.2,86.50%,94.30%
Evan McPherson,79,CIN,16,24,29,59,40,44,1,5,4,9,5,112,1.8,82.80%,90.90%
Matt Prater,79,ARI,13,22,25,57,17,18,0,1,10,6,5,83,1.9,88%,94.40%
Jason Myers,79,SEA,17,34,37,56,41,42,0,9,15,4,6,143,2.2,91.90%,97.60%
Nick Folk,79,NE,17,32,37,54,32,35,1,9,8,10,4,128,2.2,86.50%,91.40%
Greg Zuerlein,78,NYJ,17,30,37,60,28,29,0,5,10,9,6,118,2.2,81.10%,96.60%
Eddy Piñeiro,78,CAR,17,33,35,54,30,32,0,2,16,13,2,129,2.1,94.30%,93.80%
Tyler Bass,78,BUF,16,27,31,56,48,50,0,4,11,10,2,129,1.9,87.10%,96%
Mason Crosby,78,GB,17,25,29,56,37,39,0,10,8,6,1,112,1.7,86.20%,94.90%
Brett Maher,77,DAL,17,29,32,60,50,53,0,9,5,6,9,137,1.9,90.60%,94.30%
Brandon McManus,77,DEN,17,28,36,55,25,27,0,6,4,10,8,109,2.1,77.80%,92.60%
Matt Gay,77,LAR,17,28,30,58,31,32,0,9,8,4,7,115,1.8,93.30%,96.90%
Ka'imi Fairbairn,76,HOU,17,29,31,56,24,24,0,7,7,9,6,111,1.8,93.50%,100%
Wil Lutz,75,NO,17,23,31,60,33,33,0,6,9,4,4,102,1.8,74.20%,100%
Cairo Santos,75,CHI,16,21,23,51,27,32,0,4,7,6,4,90,1.4,91.30%,84.40%
Josh Lambo,74,TEN,1,0,0,0,3,4,0,0,0,0,0,3,0,0%,75%
Randy Bullock,74,TEN,15,17,20,51,28,28,0,5,5,6,1,79,1.3,85%,100%
Chase McLaughlin,74,IND,16,30,36,54,21,21,0,7,5,9,9,111,2.2,83.30%,100%
Ryan Succop,74,TB,17,31,38,54,24,25,0,10,7,12,2,117,2.2,81.60%,96%
Dustin Hopkins,73,LAC,5,9,10,43,12,12,0,2,6,1,0,39,2,90%,100%
Michael Badgley,73,DET,13,24,28,53,33,33,0,6,7,9,2,105,2.2,85.70%,100%
Greg Joseph,73,MIN,17,26,33,61,40,46,0,10,5,7,4,118,1.9,78.80%,87%
Matthew Wright,73,KC,6,15,18,59,15,15,0,1,6,6,2,60,3,83.30%,100%
Riley Patterson,73,JAX,17,30,35,53,36,37,0,8,10,10,2,126,2.1,85.70%,97.30%
Rodrigo Blankenship,73,ARI,3,4,5,50,4,5,0,2,0,1,1,16,1.7,80%,80%
Jason Sanders,72,MIA,17,26,32,55,41,44,0,5,7,12,2,119,1.9,81.20%,93.20%
Joey Slye,72,WAS,17,25,30,58,24,28,1,8,4,8,4,99,1.8,83.30%,85.70%
Cameron Dicker,71,LAC,11,21,22,48,24,24,0,7,7,7,0,87,2,95.50%,100%
Austin Seibert,71,DET,3,3,5,48,12,12,0,0,1,2,0,21,1.7,60%,100%
Cade York,70,CLE,17,24,32,58,35,37,0,5,9,6,4,107,1.9,75%,94.60%
Caleb Shudak,67,TEN,1,3,4,38,1,1,0,1,2,0,0,10,4,75%,100%
Nick Sciba,67,PIT,1,2,2,38,1,1,0,1,1,0,0,7,2,100%,100%
Taylor Bertolet,67,LAC,2,3,3,28,6,6,0,3,0,0,0,15,1.5,100%,100%
Matt Ammendola,67,ARI,4,5,7,31,5,7,1,3,1,0,0,20,1.8,71.40%,71.40%
Ramiz Ahmed,67,GB,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%
Tristan Vizcaino,67,NE,3,2,2,46,3,3,0,0,1,1,0,9,0.7,100%,100%
Dominik Eberle,67,DET,1,1,1,49,2,4,0,0,0,1,0,5,1,100%,50%
